oldID,District,Expulsion_w_services,EWS_perc,Expulsion_no_services,ENS_perc,In_school,IS_perc,Out_of_school,OOS_perc,Transfer_to_alt,TTA_perc,total
070161540020000,Thornton SD 154,,0.0,,0.0,26,72.2,10,27.8,,0.0,36
070161550020000,Calumet City SD 155,,0.0,2,0.1,1348,86.5,207,13.3,1,0.1,1558
070161560020000,Lincoln ESD 156,2,0.7,,0.0,164,54.7,134,44.7,,0.0,300
070161570020000,Hoover-Schrum Memorial SD 157,,0.0,,0.0,133,24.9,402,75.1,,0.0,535
070161580020000,Lansing SD 158,,0.0,,0.0,4,10.0,36,90.0,,0.0,40
070161590020000,ESD 159,,0.0,,0.0,53,27.5,138,71.5,2,1.0,193
070161600020000,Country Club Hills SD 160,,0.0,,0.0,188,54.7,155,45.1,1,0.3,344
070161610020000,Flossmoor SD 161,,0.0,,0.0,147,57.4,109,42.6,,0.0,256
070161620020000,Matteson ESD 162,,0.0,,0.0,87,40.5,128,59.5,,0.0,215
070161630020000,Park Forest SD 163,,0.0,,0.0,46,10.6,387,89.4,,0.0,433
070161670020000,Brookwood SD 167,,0.0,,0.0,60,77.9,17,22.1,,0.0,77
070161680040000,CCSD 168,,0.0,,0.0,192,59.1,133,40.9,,0.0,325
070161690020000,Ford Heights SD 169,,0.0,,0.0,,0.0,25,100.0,,0.0,25
070161700020000,Chicago Heights SD 170,,0.0,,0.0,142,31.8,305,68.2,,0.0,447
070161710020000,Sunnybrook SD 171,,0.0,,0.0,202,62.0,121,37.1,3,0.9,326
070161720020000,Sandridge SD 172,,0.0,,0.0,229,77.6,66,22.4,,0.0,295
070161940020000,Steger SD 194,,0.0,,0.0,2,50.0,2,50.0,,0.0,4
070162050170000,Thornton Twp HSD 205,,0.0,,0.0,,0.0,79,100.0,,0.0,79
070162060170000,Bloom Twp HSD 206,,0.0,,0.0,1227,65.4,650,34.6,,0.0,1877
070162100170000,Lemont Twp HSD 210,,0.0,,0.0,,0.0,137,100.0,,0.0,137
070162150170000,Thornton Fractional Twp HSD 215,,0.0,2,0.0,3140,72.0,1216,27.9,2,0.0,4360
070162170160000,Argo CHSD 217,,0.0,,0.0,674,79.5,174,20.5,,0.0,848
070162180160000,CHSD 218,,0.0,10,0.4,1729,66.2,873,33.4,,0.0,2612
070162200170000,Reavis Twp HSD 220,,0.0,1,0.2,305,50.2,295,48.5,7,1.2,608
070162270170000,Rich Twp HSD 227,,0.0,,0.0,275,28.1,702,71.9,,0.0,977
070162280160000,Bremen CHSD 228,,0.0,,0.0,10,1.6,593,97.5,5,0.8,608
070162290160000,Oak Lawn CHSD 229,,0.0,,0.0,1128,57.8,824,42.2,,0.0,1952
070162300130000,Cons HSD 230,,0.0,1,0.1,302,22.5,1037,77.4,,0.0,1340
070162310160000,Evergreen Park CHSD 231,,0.0,17,2.6,509,76.7,137,20.6,1,0.2,664
070162330160000,Homewood Flossmoor CHSD 233,,0.0,6,0.7,437,54.2,363,45.0,1,0.1,807
070169010250000,Southland College Prep,,0.0,2,3.1,1,1.6,61,95.3,,0.0,64
080083080260000,Eastland CUSD 308,,0.0,,0.0,7,20.6,27,79.4,,0.0,34
080083140260000,West Carroll CUSD 314,,0.0,2,0.5,168,39.5,255,60.0,,0.0,425
080083990260000,Chadwick-Milledgeville CUSD 399,,0.0,,0.0,18,41.9,25,58.1,,0.0,43
080431190220000,East Dubuque USD 119,,0.0,,0.0,12,48.0,13,52.0,,0.0,25
