distID,District,County,white_district,black_district,hispanic_district,asian_district,nathawaiian_district,NativeAmerica_district,multi_district,lep_district,iiep_district,lowInc_district,home_district
340490500040000,Woodland CCSD 50,Lake,46.4,7,28.9,12.3,0.1,0.4,5,15.1,10.2,37.1,0.9
060160780020000,Rosemont ESD 78,Cook,56.5,1.9,27.9,3.8,0,0.4,9.5,10.3,16,37,0.8
060160960020000,Riverside SD 96,Cook,64,3.5,27.9,2.5,0.1,0,2,5.3,15.4,15.6,0.7
340490730040000,Hawthorn CCSD 73,Lake,47.6,1.7,27.9,19,0.1,0.2,3.6,21.5,14.4,30.7,0.5
56099030C040000,Troy CCSD 30C,Will,56.4,10.4,27.7,2.2,0,0.1,3.2,6.8,11.2,41.2,0.7
340491180260000,Wauconda CUSD 118,Lake,64.4,1.7,27.6,3.8,0.1,0.4,2,11.4,13.3,33.8,0.5
340491210170000,Warren Twp HSD 121,Lake,47.4,10.6,27.6,9.9,0,0.3,4.3,2.6,11.8,21.8,0.8
490810400220000,Moline-Coal Valley CUSD 40,Rock Island,57.1,8.1,27.6,2.3,0,0.2,4.6,10.4,12.8,51.1,0.6
070162180160000,CHSD 218,Cook,38.9,30.4,27.4,1.3,0.1,0.3,1.5,5,15,63.2,1.4
470980130020000,Rock Falls ESD 13,Whiteside,66,2.2,27.2,0.6,0,0.3,3.7,5.5,19.6,83.7,2.7
320461110250000,Kankakee SD 111,Kankakee,21.8,49.5,27.1,0.3,0,0.2,1,12.9,12.8,81.4,1.3
070161580020000,Lansing SD 158,Cook,19.4,48.4,26.7,0.7,0.1,0.4,4.2,3.2,18.4,74.1,2.5
041012050250000,Rockford SD 205,Winnebago,32.1,30.4,26.6,3.9,0.1,0.2,6.6,12.7,14,82.9,6.8
340491120020000,North Shore SD 112,Lake,67.2,1.8,26.2,2.5,0.1,0.3,2,15.5,12.3,24.6,0.2
340490460040000,Grayslake CCSD 46,Lake,58.3,3.2,26,7.9,0.1,0.5,3.9,13.1,17.7,29.3,0.2
070161520020000,Harvey SD 152,Cook,0.2,71.8,25.2,1.1,0.2,0.1,1.5,10,10.3,97.7,29.8
050160260020000,River Trails SD 26,Cook,50.1,2.8,25.1,18.1,0.3,0.9,2.7,18.1,13,39.7,0.3
040042000260000,North Boone CUSD 200,Boone,67.6,1.6,24.8,0.7,0,0.4,4.9,8.8,12.3,47,1.1
070161940020000,Steger SD 194,Cook,39,23.4,24.8,0.9,0,0.1,11.9,8.7,13.1,75.6,1.2
050160540040000,Schaumburg CCSD 54,Cook,42,6.3,24.7,22.8,0.2,0.4,3.5,21.6,9.6,30.5,0.7
490810340020000,Silvis SD 34,Rock Island,58.9,8.8,24.7,1.2,0,0,6.4,7.9,16.6,70.2,0.5
560990810020000,Union SD 81,Will,36,33.3,24.6,0,0,0,6.1,14.9,25.4,61.4,0.9
