"distID","DistID","districtNAME","District.x","County","white_district","black_district","hispanic_district","asian_district","nathawaiian_district","NativeAmerica_district","multi_district","lep_district","iiep_district","lowInc_district","home_district","distEnroll","Expulsion_w_services","EWS_perc","Expulsion_no_services","ENS_perc","In_school","IS_perc","Out_of_school","OOS_perc","Transfer_to_alt","TTA_perc","total","total_perc","test_district"
"340490460040000","40490460040000","Grayslake CCSD 46","Grayslake CCSD 46","Lake",58.3,3.2,26,7.9,0.1,0.5,3.9,13.1,17.7,29.3,0.2,3967,,0,,0,70,66,35,33,1,0.9,106,2.7,33.1
"340490500040000","40490500040000","Woodland CCSD 50","Woodland CCSD 50","Lake",46.4,7,28.9,12.3,0.1,0.4,5,15.1,10.2,37.1,0.9,6129,,0,,0,201,84.5,37,15.5,,0,238,3.9,40.9
"340490560020000","40490560020000","Gurnee SD 56","Gurnee SD 56","Lake",27.1,20.7,38.2,7.5,0,0.4,6,13.5,14.1,25.6,1,2199,,0,,0,,0,141,100,,0,141,6.4,64.9
"340490680020000","40490680020000","Oak Grove SD 68 - Lake","Oak Grove SD 68","Lake",72.8,1.4,4,14.1,0,0,7.7,4.5,18.6,0,0,794,,0,,0,,0,3,100,,0,3,0.4,13.1
"340490700020000","40490700020000","Libertyville SD 70","Libertyville SD 70","Lake",83.9,0.9,3,6,0,0.7,5.5,1.8,6.9,5.2,0.2,2471,,0,,0,1,7.7,12,92.3,,0,13,0.5,9.4
"340490720020000","40490720020000","Rondout SD 72","Rondout SD 72","Lake",72.1,1.4,11.6,12.9,0,0,2,4.8,24.5,6.8,0,147,,,,,,,,,,,,,15
"340490730040000","40490730040000","Hawthorn CCSD 73","Hawthorn CCSD 73","Lake",47.6,1.7,27.9,19,0.1,0.2,3.6,21.5,14.4,30.7,0.5,4083,,0,,0,38,50,38,50,,0,76,1.9,33.2
"340490750020000","40490750020000","Mundelein ESD 75","Mundelein ESD 75","Lake",43.1,1.6,46.7,5.8,0.1,0.1,2.7,23,17.8,31.1,0.2,1679,,0,,0,53,58.2,38,41.8,,0,91,5.4,51
"340490760020000","40490760020000","Diamond Lake SD 76","Diamond Lake SD 76","Lake",25.9,1.7,63.3,6,0,0.9,2.2,31.4,13.9,62.4,0.2,1078,,0,,0,37,77.1,11,22.9,,0,48,4.5,67.2
"340490790020000","40490790020000","Fremont SD 79","Fremont SD 79","Lake",69.9,1.9,12.6,10.3,0.5,0.2,4.6,9.6,14,7.6,1.6,2193,,0,,0,23,71.9,9,28.1,,0,32,1.5,19.1
"340490950260000","40490950260000","Lake Zurich CUSD 95","Lake Zurich CUSD 95","Lake",80.9,1.2,7.4,7.8,0.1,0.8,1.9,5.2,13.3,15.1,0.3,5738,,0,,0,379,78.6,103,21.4,,0,482,8.4,10.5
"340490960040000","40490960040000","Kildeer Countryside CCSD 96","Kildeer Countryside CCSD 96","Lake",58,1.1,8.1,26.5,0,0.1,6.3,11.1,11.6,9,0,3140,,0,,0,19,45.2,23,54.8,,0,42,1.3,15.5
"340491020040000","40491020040000","Aptakisic-Tripp CCSD 102","Aptakisic-Tripp CCSD 102","Lake",54.4,1.2,6.3,35.2,0,0.2,2.7,20.6,12.6,12,0,2127,,0,,0,40,59.7,27,40.3,,0,67,3.1,10.2
"340491030020000","40491030020000","Lincolnshire-Prairieview SD 103","Lincolnshire-Prairieview SD 103","Lake",56.2,0.7,3.7,34.9,1,0.1,3.3,8.5,12.9,3.2,0,1647,,0,,0,7,87.5,1,12.5,,0,8,0.5,7.7
