"distID","District.x","County","white_district","black_district","hispanic_district","asian_district","nathawaiian_district","NativeAmerica_district","multi_district","lep_district","iiep_district","lowInc_district","home_district","distEnroll","Expulsion_w_services","EWS_perc","Expulsion_no_services","ENS_perc","In_school","IS_perc","Out_of_school","OOS_perc","Transfer_to_alt","TTA_perc","total","total_perc"
"070161090020000","Indian Springs SD 109","Cook",61.2,17.4,18.3,1.3,0.1,0.2,1.5,24.2,12.9,50.4,1.4,2991,,0,,0,39,37.9,64,62.1,,0,103,3.4
"070161100020000","Central Stickney SD 110","Cook",20,0.5,70.9,1.4,0.5,0,6.7,33,15.6,79.3,1.2,430,,0,,0,14,93.3,1,6.7,,0,15,3.5
"070161110020000","Burbank SD 111","Cook",51.4,1.7,44.1,2,0,0.1,0.7,33.1,17.3,47.8,0.7,3532,,0,,0,11,22.4,36,73.5,2,4.1,49,1.4
"07016113A020000","Lemont-Bromberek CSD 113A","Cook",83.2,0.8,9,4.8,0,0.1,2.1,6.8,10.1,19,0.3,2191,,0,,0,45,54.2,38,45.8,,0,83,3.8
"070161170020000","North Palos SD 117","Cook",73.9,4.7,16.3,2.6,0.1,0.1,2.4,29.9,11.1,62.6,0.6,3259,,0,,0,37,38.9,58,61.1,,0,95,2.9
"070161180040000","Palos CCSD 118","Cook",80.8,1.3,11.2,3.6,0.1,0.4,2.7,6.8,16.2,29.7,0.5,1914,,0,,0,24,82.8,5,17.2,,0,29,1.5
"070161220020000","Ridgeland SD 122","Cook",68.1,4.5,24,1.5,0.1,0.1,1.7,28.1,15.2,72.2,1.7,2424,,0,,0,106,66.3,53,33.1,1,0.6,160,6.6
"070161230020000","Oak Lawn-Hometown SD 123","Cook",58.9,6.7,29.4,2,0,0.4,2.5,10.6,15.4,52,1.3,3182,,0,,0,45,43.3,59,56.7,,0,104,3.3
"070161240020000","Evergreen Park ESD 124","Cook",46.9,25.5,23.5,0.9,0,0.1,3.1,9.2,14.4,47.3,0.9,1758,,0,,0,32,46.4,36,52.2,1,1.4,69,3.9
"070161250020000","Atwood Heights SD 125","Cook",40.2,16.8,38.8,1.8,0,0,2.4,4.3,20.9,53.9,0.8,716,,0,,0,4,7,53,93,,0,57,8
"070161260020000","Alsip-Hazlgrn-Oaklwn SD 126","Cook",49.3,14.4,30.7,2.2,0,0.3,3.1,12.7,15.5,63,0.4,1595,,0,,0,14,58.3,10,41.7,,0,24,1.5
"070161270020000","Worth SD 127","Cook",72.2,3.4,14.7,1.9,0,0.1,7.6,17.6,15.4,58.4,1.1,1139,,0,,0,,0,13,100,,0,13,1.1
"070161275020000","Chicago Ridge SD 127-5","Cook",69.3,10.2,17,1.6,0,0.3,1.6,28.8,16.1,76.3,2.2,1470,,0,,0,24,42.1,33,57.9,,0,57,3.9
"070161280020000","Palos Heights SD 128","Cook",87.9,1.6,9.1,0.8,0.1,0,0.4,6,13.7,10.3,4.4,746,,0,,0,2,33.3,4,66.7,,0,6,0.8
"070161300020000","Cook County SD 130","Cook",14.6,23.1,60.3,0.4,0,0.2,1.3,23.8,15.4,80.7,1.1,3861,,0,,0,149,58,102,39.7,6,2.3,257,6.7
