distID,distEnroll
070161440020000,2586
070161450020000,1454
070161460040000,2416
070161470020000,1288
070161480020000,2298
070161490020000,2997
070161500020000,930
070161510020000,1599
070161520020000,2266
070161525020000,945
070161530020000,1882
070161540020000,230
070161545020000,204
070161550020000,1219
070161560020000,1024
070161570020000,941
070161580020000,2537
070161590020000,1947
070161600020000,1257
070161610020000,2328
070161620020000,2902
070161630020000,2052
070161670020000,1230
070161680040000,1487
070161690020000,460
070161700020000,3323
070161710020000,1054
070161720020000,404
070161940020000,1490
070162050170000,5079
070162060170000,3245
070162100170000,1405
070162150170000,3482
070162170160000,1862
070162180160000,5508
070162200170000,1866
070162270170000,3303
070162280160000,5196
070162290160000,1842
070162300130000,7786
070162310160000,856
070162330160000,2800
070169010250000,494
080083080260000,638
080083140260000,1176
080083990260000,538
080431190220000,713
080431200220000,821
080432050260000,404
080432060260000,615
080432100260000,521
080432110260000,240
080891450220000,4115
080892000260000,493
080892010260000,842
080892020260000,837
080892030260000,371
090100010260000,608
090100030260000,3045
090100040260000,9948
090100070260000,1702
090100080260000,467
090101160220000,4418
090101300040000,165
090101370020000,1664
090101420040000,78
090101690040000,894
090101880040000,198
090101930170000,740
090101970040000,241
090103050160000,462
090270050260000,1041
090270100260000,1388
11012002C260000,1404
11012003C260000,401
11012004C260000,949
110150010260000,2818
110150020260000,3421
110150050260000,290
110180030260000,683
110180770260000,1027
110213010260000,1007
110213020260000,683
110213050260000,1230
110213060260000,757
110230010260000,407
110230030260000,222
110230040260000,692
110230060260000,351
110230950250000,1383
110703000260000,1141
110703020260000,545
110870010260000,376
11087003A260000,431
110870040260000,1233
11087005A260000,338
110870210260000,807
120130100260000,331
120130250260000,651
120130350260000,1373
120170010260000,348
120170020260000,1626
120170030260000,351
120170040260000,614
120400010260000,1422
120510100260000,1046
120510200260000,1231
120800010260000,2450
120800020260000,2450
130140010260000,1181
130140030260000,1323
130140120040000,643
130140210020000,395
130140460020000,186
130140570020000,156
130140600020000,260
130140620020000,110
130140630020000,191
130140710160000,554
130141415020000,149
130141860020000,139
130410010260000,377
130410020040000,351
130410030040000,315
130410050040000,191
130410060040000,81
130410120040000,60
130410790020000,265
130410800020000,1629
130410820020000,165
130410990040000,72
130411780040000,134
130412010170000,1235
130412090270000,356
130413180270000,285
130580010030000,252
130580020030000,117
130580070040000,217
130580100040000,223
130581000260000,256
130581110020000,1052
130581330020000,297
130581350020000,1350
130582000170000,935
130584010260000,681
130585010260000,509
130586000160000,739
130587220260000,304
130950010040000,74
130950100260000,560
130950110040000,57
130950150040000,149
130950290030000,54
130950490040000,549
130950990160000,408
150162990250000,397833
160194240260000,1772
160194250260000,750
160194260260000,580
160194270260000,3776
160194280260000,6336
160194290260000,692
160194300260000,2151
160194320260000,795
170200150260000,1991
170200180260000,803
170530050260000,513
17053006J260000,439
170530080260000,2128
170530740270000,336
170530900170000,713
170532300170000,304
170532320020000,569
170534250040000,52
170534260040000,111
170534290040000,1284
170534350040000,150
170534380040000,118
170540210260000,226
170540230260000,546
170540270020000,1238
170540610040000,283
170540880020000,108
170540920040000,180
170544040160000,862
170640020260000,791
170640030260000,1001
170640040260000,976
170640050260000,13696
170640070260000,510
170640160260000,1872
170640190260000,602
170640870250000,5518
190220020020000,2151
190220040020000,4299
190220070020000,1204
190220100020000,987
190220110020000,657
190220120020000,695
190220130020000,1244
190220150020000,2718
190220160020000,1927
190220200020000,1512
190220250020000,691
190220330020000,4526
190220340020000,335
190220410020000,3451
190220440020000,3184
190220450020000,3426
190220480020000,482
190220530020000,491
190220580020000,5191
190220600020000,1335
190220610020000,1568
190220620020000,830
190220630020000,781
190220660020000,996
190220680020000,3070
190220860170000,4407
190220870170000,8288
190220880160000,4070
190220890040000,2011
190220930040000,3827
190220940160000,1983
190220990160000,5015
190221000160000,1555
190221080160000,2698
190221800040000,688
190221810040000,3914
190222000260000,13112
190222010260000,1349
190222020260000,1560
190222030260000,16917
190222040260000,28327
190222050260000,8449
200240010260000,939
200300070260000,743
200330100260000,1238
200350010260000,611
200760010260000,548
200830010260000,454
200830020260000,459
200830030260000,2130
200830040260000,1226
200930170240000,126
200933480260000,1617
200960060040000,185
200960140040000,104
200960170040000,165
200961000260000,531
200961120040000,743
200962000260000,445
200962250160000,452
200970010260000,334
200970030260000,742
200970050260000,1389
210280470040000,1207
210280910040000,98
210280990260000,832
210281030130000,614
210281150040000,217
210281680260000,1899
210281740260000,353
210281880260000,629
210281960260000,691
210440010260000,626
210440320030000,257
210440430030000,66
210440550020000,430
210440640020000,132
210441330170000,348
210610010260000,2169
210610380260000,271
211000010260000,1202
211000020260000,4027
211000030260000,514
211000040260000,2543
211000050260000,2244
240320010260000,2127
24032002C020000,319
24032024C040000,86
240320540020000,1214
24032060C040000,798
24032072C040000,200
240320730170000,191
240320740030000,113
240320750020000,150
240321010160000,932
240321110160000,2589
240322010040000,4255
240470180160000,188
240470660040000,240
240470880260000,2408
240470900040000,114
240471150260000,5844
240473080260000,17911
260290010260000,360
260290020260000,377
260290030260000,479
260290040260000,364
260290660250000,2608
260290970260000,704
260343070160000,376
260343160260000,468
260343170040000,441
260343250260000,256
260343270040000,189
260343280240000,579
260343370260000,506
260343470040000,238
260621030260000,645
260621700260000,745
260621850260000,2068
260850050260000,1189
280060170040000,74
280060840040000,85
280060920020000,
280060940040000,223
280060980020000,48
280060990040000,750
280061030220000,447
280061150020000,1214
280063030260000,261
280063400260000,1126
280065000150000,516
280065020170000,386
280065050160000,36
280371900020000,476
280372230260000,1074
280372240260000,581
280372250260000,411
280372260260000,383
280372270260000,520
280372280260000,2557
280372290260000,1952
280372300260000,609
280880010260000,149
280881000260000,788
300020010220000,500
300020050260000,480
300390860030000,264
300390950020000,1504
300391300040000,254
300391400040000,711
300391650160000,1031
300391760260000,957
300391860260000,2153
300391960260000,515
300730050020000,119
300730500020000,545
300731010160000,453
300732040040000,153
300733000260000,1486
300771000260000,400
300771010260000,507
300910160040000,124
300910170220000,556
300910370040000,758
300910430040000,445
300910660220000,267
300910810160000,483
300910840260000,374
310450460220000,40400
310451010220000,6148
310451290220000,12638
310451310220000,14799
310453000260000,20862
310453010260000,3722
310453020260000,4657
310453030260000,13145
310453040260000,5889
310458000800000,
320380030260000,333
320380040260000,1127
320380060260000,289
320380090260000,1116
320380100260000,1021
320381240260000,655
320382490260000,83
320460010260000,1207
320460020260000,1838
320460050260000,2203
320460060260000,511
320460530020000,2429
320460610020000,1613
320461110250000,5470
320462560040000,339
320462580040000,471
320462590040000,285
320463020160000,259
320463070160000,2083
330362350260000,891
330482020260000,1115
330482050260000,4573
330482080260000,664
330482100260000,297
330482760260000,1003
330664040260000,1387
330942380260000,1763
330943040260000,951
340490010020000,571
340490030040000,2348
340490060020000,2832
340490240040000,1320
