zipcode,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
63132,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,264.7648425,47.7,294.2351575,559.0
63133,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,374,176.0,288.8349377,5.3,261.1650623,550.0
63134,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,304.1447796,29.7,254.8552204,559.0
63135,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,267.08946100000003,35.5,291.91053899999997,559.0
63136,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,419,204.0,338.5583385,7.7,284.4416615,623.0
63137,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,419,204.0,301.4643585,19.7,321.5356415,623.0
63138,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,419,204.0,282.2467625,21.3,340.7532375,623.0
63139,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,372,203.0,252.2553837,79.8,322.74461629999996,575.0
63140,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,270.6561939,5.6,288.3438061,559.0
63141,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,268.769962,76.1,263.230038,532.0
63143,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,322,209.0,240.2740826,76.7,290.72591739999996,531.0
63144,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,322,209.0,222.3861988,87.1,308.6138012,531.0
63146,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,238.7804009,70.1,293.2195991,532.0
63147,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,466,229.0,312.1069266,5.8,382.8930734,695.0
63301,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,209.933594,85.4,294.06640600000003,504.0
63303,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,211.2731851,86.0,292.7268149,504.0
63304,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,198.2316189,88.7,305.7683811,504.0
63330,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,116.6832701,98.1,279.3167299,396.0
63332,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,194.9067849,99.6,317.0932151,512.0
63333,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,94.37327253,98.1,363.62672747,458.0
63334,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,135.5725784,85.8,260.4274216,396.0
63336,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,119.092738,95.3,276.907262,396.0
63339,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,109.1966371,99.1,286.8033629,396.0
63341,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,196.6640638,99.7,307.3359362,504.0
63343,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,143.5158327,94.4,306.48416729999997,450.0
63344,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,162.0410638,95.7,233.9589362,396.0
63345,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,163.1992768,95.0,232.8007232,396.0
63347,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,210.2341965,93.4,239.7658035,450.0
63348,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,180.394877,94.5,323.605123,504.0
63349,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,167.23314010000001,87.5,282.7668599,450.0
63350,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,162.1670049,86.0,295.8329951,458.0
63351,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,124.7455069,94.2,333.2544931,458.0
63352,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,80.4387598,98.6,315.5612402,396.0
63353,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,141.9371709,87.0,254.0628291,396.0
63357,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,193.5112037,97.2,256.4887963,450.0
63359,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,115.7676069,99.5,342.23239309999997,458.0
